Source Name,Mention Count,,
tbo.com,5,,
bignewsnetwork.com,5,,
newsweek.com,5,,
albawabhnews.com,5,,
wknofm.org,5,,
wfsu.org,5,,
hjnews.com,5,,
seychellesnewsagency.com,5,,
upr.org,5,,
kazu.org,5,,
maliactu.net,5,,
businessghana.com,5,,
wmky.org,5,,
netscape.com,5,,
channel4000.com,5,,
ivpressonline.com,5,,
thedodo.com,5,,
mpbn.net,5,,
ripr.org,5,,
wnmufm.org,5,,
ad-hoc-news.de,5,,
delawarepublic.org,5,,
wvasfm.org,5,,
pressafrik.com,5,,
africultures.com,5,,
dailynht.com,5,,
kctv5.com,5,,
whqr.org,5,,
knba.org,5,,
ctvnews.ca,5,,
kwit.org,5,,
goldenisles.news,5,,
aspenpublicradio.org,5,,
chinaafricarealstory.com,5,,
wuky.org,5,,
cajnews.co.zw,5,,
wemu.org,5,,
alittihad.ae,5,,
spokanepublicradio.org,5,,
kasu.org,5,,
sunherald.com,5,,
zocalo.com.mx,5,,
ledger-enquirer.com,5,,
gazette.com,5,,
nst.com.my,5,,
krwg.org,5,,
saharareporters.com,5,,
rtl.be,5,,
viralnova.com,5,,
emtv.com.pg,5,,
ethiosun.com,5,,
keranews.org,5,,
kenw.org,5,,
bellinghamherald.com,5,,
dailyherald.com,5,,
wordpress.com,5,,
hickoryrecord.com,5,,
ketr.org,5,,
wwno.org,5,,
ksmu.org,5,,
thesouthern.com,5,,
wyomingpublicmedia.org,5,,
blastingnews.com,5,,
wdiy.org,5,,
wibqam.com,5,,
masterstudies.com,5,,
wnpr.org,5,,
townhall.com,5,,
northernpublicradio.org,5,,
wpsu.org,5,,
thedailyvox.co.za,5,,
michigansthumb.com,5,,
wutc.org,5,,
copts-united.com,5,,
miningne.ws,5,,
wesm913.org,5,,
worldtribune.com,5,,
diarioinenglish.com,5,,
journal-news.com,5,,
kvpr.org,5,,
i24news.tv,5,,
businessdaily.co.zw,5,,
herald-review.com,5,,
scnow.com,5,,
sott.net,5,,
footprint2africa.com,4,,
borneobulletin.com.bn,4,,
wgme.com,4,,
whdh.com,4,,
newsalyoum.com,4,,
khulumaafrika.com,4,,
kdhnews.com,4,,
thenerveafrica.com,4,,
star-telegram.com,4,,
newscenter1.tv,4,,
cameroon-info.net,4,,
ottawacitizen.com,4,,
samigration.com,4,,
caixin.com,4,,
macon.com,4,,
queer.de,4,,
cbs12.com,4,,
trtworld.com,4,,
pr-inside.com,4,,
premiumtimesng.com,4,,
standard.net,4,,
businessinsider.in,4,,
allbuzznews.com,4,,
theolympian.com,4,,
businesstoday.in,4,,
bgdailynews.com,4,,
laosnews.net,4,,
thevoicebw.com,4,,
wtov9.com,4,,
diariodecaracas.com,4,,
environmentguru.com,4,,
thehour.com,4,,
tvnewsroom.org,4,,
londonmercury.com,4,,
registercitizen.com,4,,
missoulian.com,4,,
africanreview.com,4,,
zululandobserver.co.za,4,,
morganton.com,4,,
tristatehomepage.com,4,,
businesslive.co.za,4,,
thenewstribune.com,4,,
findlaw.com,4,,
wlos.com,4,,
skift.com,4,,
ptinews.com,4,,
oaoa.com,4,,
idahostatejournal.com,4,,
pambazuka.net,4,,
forimmediaterelease.net,4,,
canonplace.com,4,,
channelafrica.co.za,4,,
periodicodigital.mx,4,,
newswest9.com,4,,
wlox.com,4,,
yourerie.com,4,,
canada.com,4,,
9news.com.au,4,,
in2eastafrica.net,4,,
npr.org,4,,
my40.tv,4,,
inquirer.net,4,,
noticias.terra.cl,4,,
opednews.com,4,,
wect.com,4,,
forcechange.com,4,,
arkansasonline.com,4,,
elpasoinc.com,4,,
shorelinemedia.net,4,,
observerleader.com,4,,
channelstv.com,4,,
southcoasttoday.com,4,,
canberratimes.com.au,4,,
reportfocusnews.com,4,,
it-online.co.za,4,,
rocketnews.com,4,,
alakhbar.info,4,,
list-online.com,4,,
healthable.org,4,,
westfieldtimes.com,4,,
fox4beaumont.com,4,,
eveningexpress.co.uk,4,,
capradio.org,4,,
links.org.au,4,,
monitor.co.ug,4,,
porttechnology.org,4,,
eagletribune.com,4,,
noticias.terra.es,4,,
telegraphvoice.com,4,,
atlantablackstar.com,4,,
proactiveinvestors.com.au,4,,
towardfreedom.com,4,,
diplomaticourier.com,4,,
whig.com,4,,
devex.com,4,,
