Country Name,ISO Code,Confidence Level,Press Type,Mean,Standard Deviation,Number of Articles
Mauritius,MUS,30,Local,1.4768888742769535,2.6464656300731337,603
Mauritius,MUS,50,Chinese,3.122209914194213,2.0006499702184852,180
Mauritius,MUS,50,Western,0.5175661524901023,2.0400614372602015,13
Mauritius,MUS,50,Local,1.5380871115798451,2.554315018539116,498
Mauritius,MUS,70,Chinese,2.934275363924123,2.1121108476183785,119
Mauritius,MUS,70,Western,0.18501538534959158,1.781252356506291,9
Mauritius,MUS,70,Local,1.446209767275611,2.3369695430191695,354
Mauritius,MUS,100,Chinese,3.0718620064323896,2.2023736761663257,73
Mauritius,MUS,100,Western,-0.8741318941116333,1.4235769222116232,5
Mauritius,MUS,100,Local,1.2031993534140013,2.4591059087287706,216
Mozambique,MOZ,0,Chinese,3.1125122514879044,2.4332035757100567,652
Mozambique,MOZ,0,Western,-2.133104172650348,2.243879912532072,89
Mozambique,MOZ,0,Local,-0.18481689491191833,4.076557379692508,357
Mozambique,MOZ,30,Chinese,3.0511196834313403,2.738152887473576,308
Mozambique,MOZ,30,Western,-2.3059675401449202,2.4203325782096723,50
Mozambique,MOZ,30,Local,0.31626633641781743,3.8655752839587523,154
Mozambique,MOZ,50,Chinese,3.0902000174289794,2.663835272207615,205
Mozambique,MOZ,50,Western,-1.4757975918405197,1.977893891990948,34
Mozambique,MOZ,50,Local,-0.14086344299164225,3.3663832760763674,94
Mozambique,MOZ,70,Chinese,3.0047964261750044,2.6566139981945835,118
Mozambique,MOZ,70,Western,-1.323207746570309,1.8590491217981244,24
Mozambique,MOZ,70,Local,-0.23352855443954468,3.4595659824247362,51
Mozambique,MOZ,100,Chinese,2.95962561689206,3.0722551048855156,67
Mozambique,MOZ,100,Western,-0.9465190341075261,1.8429107441193904,15
Mozambique,MOZ,100,Local,-1.6857815670967102,3.738273853273811,25
Rwanda,RWA,0,Chinese,3.614516274077106,2.5231291972508263,1528
Rwanda,RWA,0,Western,-0.08448287868887429,2.225210954272445,123
Rwanda,RWA,0,Local,2.549966855331977,2.665427089368882,1178
Rwanda,RWA,30,Chinese,3.6328989293756364,2.5357427086150883,711
Rwanda,RWA,30,Western,-0.4107994117598603,2.0800131965211746,69
Rwanda,RWA,30,Local,2.142060499045205,2.7159925090152273,559
Rwanda,RWA,50,Chinese,3.545616920258441,2.50359791202687,483
Rwanda,RWA,50,Western,-0.741950695623051,1.9229409021301578,55
Rwanda,RWA,50,Local,1.894894798867384,2.685853118677278,367
